Week,mahindra,ssangyong,mazda,toyota,volkswagen
2014-04-13 - 2014-04-19,2,0,13,66,9
2014-04-20 - 2014-04-26,2,1,11,67,9
2014-04-27 - 2014-05-03,2,1,11,64,9
2014-05-04 - 2014-05-10,2,0,10,67,8
2014-05-11 - 2014-05-17,2,1,12,66,11
2014-05-18 - 2014-05-24,2,1,12,68,10
2014-05-25 - 2014-05-31,2,1,14,67,9
2014-06-01 - 2014-06-07,2,1,13,68,9
2014-06-08 - 2014-06-14,2,0,15,73,11
2014-06-15 - 2014-06-21,2,1,13,70,9
2014-06-22 - 2014-06-28,2,0,12,71,11
2014-06-29 - 2014-07-05,2,1,11,64,10
2014-07-06 - 2014-07-12,2,1,13,68,11
2014-07-13 - 2014-07-19,2,1,13,75,11
2014-07-20 - 2014-07-26,2,1,12,71,9
2014-07-27 - 2014-08-02,2,1,12,69,9
2014-08-03 - 2014-08-09,2,1,12,63,10
2014-08-10 - 2014-08-16,2,0,12,70,10
2014-08-17 - 2014-08-23,2,0,12,65,10
2014-08-24 - 2014-08-30,2,0,12,66,9
2014-08-31 - 2014-09-06,2,0,12,67,9
2014-09-07 - 2014-09-13,2,0,12,66,10
2014-09-14 - 2014-09-20,2,0,13,68,10
2014-09-21 - 2014-09-27,2,0,13,68,9
2014-09-28 - 2014-10-04,2,0,13,65,9
2014-10-05 - 2014-10-11,2,0,14,67,10
2014-10-12 - 2014-10-18,2,0,16,71,9
2014-10-19 - 2014-10-25,2,0,15,69,10
2014-10-26 - 2014-11-01,2,0,12,67,7
2014-11-02 - 2014-11-08,2,1,15,66,8
2014-11-09 - 2014-11-15,3,1,17,70,9
, , , , , 
